---------- processing video for epoch 6 ----------
performing inference...
pred: 1.82 deg. took: 62.74 ms | cam=2.08 prep=3.13 pred=57.53 frequency(45)=1200000000
 
pred: 1.56 deg. took: 62.62 ms | cam=2.00 prep=3.11 pred=57.51 frequency(45)=1200000000
 
pred: 1.51 deg. took: 62.64 ms | cam=2.07 prep=3.01 pred=57.56 frequency(45)=1200000000
 
pred: 1.74 deg. took: 63.01 ms | cam=2.07 prep=3.06 pred=57.88 frequency(45)=1200000000
 
pred: 1.59 deg. took: 62.59 ms | cam=2.01 prep=3.00 pred=57.57 frequency(45)=1200002000
 
pred: 1.42 deg. took: 62.60 ms | cam=1.97 prep=3.05 pred=57.58 frequency(45)=1200000000
 
pred: 1.17 deg. took: 62.70 ms | cam=2.02 prep=3.11 pred=57.58 frequency(45)=1200002000
 
pred: 0.88 deg. took: 63.02 ms | cam=2.06 prep=3.14 pred=57.83 frequency(45)=1200000000
 
pred: 0.88 deg. took: 62.73 ms | cam=2.02 prep=3.01 pred=57.70 frequency(45)=1200000000
 
pred: 1.49 deg. took: 62.52 ms | cam=1.98 prep=3.05 pred=57.49 frequency(45)=1200000000
 
pred: 1.28 deg. took: 62.79 ms | cam=2.04 prep=3.01 pred=57.73 frequency(45)=1200000000
 
pred: 1.56 deg. took: 62.91 ms | cam=2.08 prep=3.13 pred=57.70 frequency(45)=1200000000
 
